id,x,y
1,659969.7309629833,2714012.063554667
2,660733.1580510205,2715433.169262154
3,660724.8366593746,2715458.981321169
4,659964.7801675498,2714018.7856367007
5,660733.1139080022,2715481.0066145547
6,660724.6697650887,2715495.144208031
7,659751.8572017429,2716665.911081303
8,659771.7875561332,2716666.139175199
9,661688.6213197168,2717590.7049181443
10,661696.7618943304,2717600.67951281
11,661701.6261296412,2717606.6507474445
12,664672.2350081438,2717682.041898053
13,664652.9662224464,2717683.8304758165
14,661611.0287806708,2717806.296851164
15,661621.6828905931,2717811.781297596
16,663033.1002012612,2718869.5251768604
17,663026.0376287606,2718874.061572058
18,661428.4842728181,2718905.777817022
19,661449.6660685716,2718988.7758271527
20,662379.7956635933,2719043.504344784
21,662516.000835848,2719047.217625525
22,662103.6450617025,2718511.640193453
23,663004.1495767906,2719064.589480892
24,663012.039321648,2719064.6706248485
25,663003.2775313985,2719071.601867467
26,663002.1826057481,2719080.3506789245
27,663010.8187269364,2719081.570362356
28,662108.8614873029,2719091.215983108
29,661852.4190196414,2719109.714821914
30,662270.6083728299,2719187.502858694
31,661837.1545257382,2719297.3518724814
32,661484.3260923093,2719379.082539186
33,661471.9260717798,2719381.0213311724
34,662084.9897012962,2719411.671871133
35,662095.8988224017,2719421.2359309644
36,660556.8942339467,2719532.8256109804
37,661818.9477359308,2719536.0510097183
38,661938.0165164694,2719621.161215877
39,662173.794055935,2719874.6091911085
40,659908.983316442,2720093.059958061
41,660576.9720521588,2720177.166674452
42,660579.3443434648,2720100.4781003147
43,661771.4055312201,2720221.892151311
44,661463.0326042091,2720244.2247747597
45,661449.5385959232,2720247.9895731416
46,661481.4592034202,2720266.6799632423
47,661461.5003992822,2720268.077008078
48,661449.5698321005,2720268.9024746064
49,661426.0531480899,2720270.5463505387
50,661787.0329735335,2720270.8104554024
51,661746.1131581133,2720270.933695413
52,661740.8254277296,2720277.1084478647
53,661794.4640379148,2720280.6773258056
54,661449.5898568248,2720281.1644554343
55,661460.6492331,2720281.22609924
56,661673.0727148708,2720281.8607160226
57,661737.3520271489,2720307.6062553376
58,661786.1683199424,2720314.763347335
59,661744.8776128422,2720316.3111553174
60,661777.6331328079,2720322.3625008743
61,659465.0775363138,2720325.1548418608
62,660874.2238847623,2720515.382159769
63,660883.2416808279,2720523.8268797714
64,666523.5528640337,2720532.754172452
65,667885.0596558824,2720715.097558006
66,668213.3897943366,2720256.9493782967
67,667881.7389949067,2720748.609524969
68,658991.8647916066,2720750.079408154
69,659000.4396539386,2720750.376615461
70,659143.7841651589,2720814.6279587
71,658914.7533865962,2720843.183387246
72,658842.791696446,2720872.867425086
73,658664.6046836562,2720653.6044885647
74,658748.9483671226,2720911.983314289
75,658749.5593332751,2720917.916161156
76,658909.3159918385,2721286.211973995
77,661669.6645521931,2721405.6164401174
78,661682.9868950928,2721420.27129589
79,667306.6795067703,2721557.905473314
80,657353.8904966526,2721591.356850333
81,657345.567671191,2721559.828135729
82,657355.0750571061,2721595.8672326114
83,638813.0266730804,2721898.828236906
84,635650.1424779454,2720463.1151614115
85,635633.4114384968,2720443.070433326
86,668785.2016280526,2722281.476371648
87,668765.9077195562,2722290.79092316
88,668797.6116884463,2722299.5161053
89,668776.6114619132,2722313.417986188
90,668785.0964413565,2722313.5540448
91,668749.941007778,2722316.373593306
92,668805.463306928,2722324.3351014946
