id,x,y
1,338686.37847661786,4288083.131163821
2,339607.543706635,4288064.79035137
3,343139.72924920823,4288285.418208303
4,343227.36850078404,4288003.618434107
5,343199.9319324121,4287853.170379162
6,339295.59090210963,4288418.643630292
7,338348.02473325934,4288462.983558791
8,337752.82918840554,4288082.468382062
9,337979.8106122697,4288469.361976415
10,338600.4452252481,4288480.697444685
11,339336.02805984486,4288541.740808001
12,337879.86402110104,4288447.760411767
13,339444.9180254573,4288522.889383502
14,338312.0773522677,4288630.106462697
15,338574.4593835836,4288653.423422424
16,338530.7790957531,4288545.072748212
17,338478.55997826345,4288687.033742594
18,338491.4337571226,4288666.199580558
19,338576.0232577864,4288703.075128643
20,338116.6483043684,4288730.382913105
21,338251.68270173203,4288744.845546855
22,338280.4046620084,4288666.455647016
23,338733.02934883256,4288768.027035974
24,338865.3794686533,4288756.130616743
25,338852.0668110419,4288781.525017807
26,338741.8172628581,4288785.424076445
27,338786.9601191813,4288747.271732567
28,338628.43603578955,4288845.01141501
29,340040.34383728635,4288861.198593458
30,338654.6467789514,4288884.493051216
31,338640.1914934907,4288871.940675726
32,338748.1629718868,4288826.063603083
33,338348.9731959207,4288890.209137412
34,338339.1881218441,4288903.808624372
35,338236.3620923348,4288898.082434371
36,338355.8505317187,4288907.267126726
37,338558.7649408709,4288907.699194774
38,338381.582521026,4288916.2702945545
39,338089.2850590385,4288919.037911553
40,338079.7605909407,4288922.77343373
41,337968.74091717415,4288737.612478776
42,343014.5052649453,4288930.911614496
43,338475.8673083149,4288933.929237288
44,338668.78031287715,4288947.223905934
45,342877.8229372082,4288864.698735695
46,338685.69328244124,4288955.762923155
47,339247.7004887331,4288979.149451908
48,338108.90258806944,4288989.083964624
49,338383.891677496,4288989.27758879
50,338432.5671582883,4289003.177362364
51,338004.5360972537,4289005.04201569
52,338556.7161512664,4289023.1507337615
53,338293.5376357166,4289011.3977284655
54,338769.43656598683,4289029.606399629
55,337949.4767174339,4289029.989243235
56,343208.3272862388,4288955.81077327
57,337831.49562407937,4289041.808131225
58,337795.6130788708,4289045.503987148
59,338122.1821910618,4289058.359709971
60,338249.9546785811,4288978.954052335
61,339089.6816794779,4289065.334325144
62,337910.12317799777,4289081.429405093
63,338713.5277950261,4289094.24556932
64,338030.5994211184,4289098.227487676
65,338711.1023074966,4289100.711952265
66,338847.3822063161,4289115.669771209
67,338047.6631535087,4289138.071122784
68,337867.248745366,4289154.225043479
69,337790.9439079175,4289095.860232966
70,338198.50252607744,4289169.763808958
71,338717.0553343492,4289182.460672012
72,338999.43234888,4289194.060839664
73,338962.61275294423,4289045.756028503
74,338965.317397112,4289249.397454033
